date,1. open,2. high,3. low,4. close,5. volume
2021-09-03 16:42:00,2874.5,2874.5,2874.5,2874.5,286.0
2021-09-03 16:31:00,2875.0,2875.0,2875.0,2875.0,103.0
2021-09-03 16:28:00,2874.79,2874.79,2874.79,2874.79,613.0
2021-09-03 16:15:00,2875.0,2875.0,2874.5,2874.5,279.0
2021-09-03 16:11:00,2874.79,2874.79,2874.79,2874.79,203.0
2021-09-03 16:10:00,2874.5,2874.5,2874.5,2874.5,121.0
2021-09-03 16:05:00,2875.0,2875.0,2875.0,2875.0,135.0
2021-09-03 16:03:00,2874.79,2874.79,2874.79,2874.79,1471.0
2021-09-03 16:01:00,2874.79,2874.79,2874.79,2874.79,4570.0
2021-09-03 16:00:00,2872.24,2875.16,2871.8,2874.8,19612.0
2021-09-03 15:59:00,2870.745,2872.57,2870.5828,2872.365,8819.0
2021-09-03 15:58:00,2869.33,2870.83,2869.1,2870.77,13476.0
2021-09-03 15:57:00,2868.44,2870.08,2868.28,2868.28,9766.0
2021-09-03 15:56:00,2869.67,2869.71,2868.0,2868.34,18844.0
2021-09-03 15:55:00,2871.14,2871.62,2869.89,2869.89,8401.0
2021-09-03 15:54:00,2871.2,2872.17,2871.2,2871.28,11151.0
2021-09-03 15:53:00,2871.625,2872.22,2870.67,2870.67,8554.0
2021-09-03 15:52:00,2872.71,2872.75,2871.4,2871.5,8112.0
2021-09-03 15:51:00,2873.81,2874.11,2872.59,2872.59,5406.0
2021-09-03 15:50:00,2874.03,2874.08,2872.91,2873.53,5762.0
2021-09-03 15:49:00,2874.05,2874.69,2873.67,2873.67,3316.0
2021-09-03 15:48:00,2875.72,2875.72,2874.37,2874.72,4236.0
2021-09-03 15:47:00,2876.255,2876.4,2876.01,2876.37,2105.0
2021-09-03 15:46:00,2875.73,2876.355,2875.73,2876.355,2975.0
2021-09-03 15:45:00,2875.4,2875.4,2875.4,2875.4,1644.0
2021-09-03 15:44:00,2875.0,2875.72,2874.82,2875.71,4522.0
2021-09-03 15:43:00,2875.51,2875.51,2875.51,2875.51,864.0
2021-09-03 15:42:00,2875.54,2875.58,2874.84,2875.3225,4066.0
2021-09-03 15:41:00,2875.79,2876.05,2875.79,2875.955,1364.0
2021-09-03 15:40:00,2876.0,2876.0,2875.55,2875.56,3153.0
2021-09-03 15:39:00,2876.62,2876.62,2876.12,2876.27,2262.0
2021-09-03 15:38:00,2877.295,2877.295,2876.48,2876.8,3382.0
